Date,Open,High,Low,Close,Adj Close,Volume,One_Day_Change,3_Day_Change,Average_2_Day_Change,MSFT_Average_2_Day_Change_Percentage,S&P500_Average_2_Day_Change_Percentage,Difference_MSFT_S&P500,Quarterly_Earnings_On_This_Date,File_Name
7/21/2015,46.779999,47.330002,46.48,47.279999,44.019466,42781900,1.739998,1.34,1.539999,0.032571892,0.010400143,0.022171748,7/21/2015,100
10/22/2015,47.529999,48.950001,47.09,48.029999,45.01263,56637100,-4.84,-5.66,-5.25,-0.109306686,-0.008810837,-0.100495849,10/22/2015,101
1/28/2016,51.860001,52.209999,51.25,52.060001,49.118313,62513800,-3.029999,-0.939999,-1.984999,-0.038129062,-0.014991105,-0.023137957,1/28/2016,102
4/21/2016,55.799999,56.23,55.419998,55.779999,53.005974,38909100,4,4.34,4.17,0.074757979,-7.77228E-05,0.074835702,4/21/2016,103
7/19/2016,53.709999,53.900002,52.93,53.09,50.80262,53336500,-2.82,-3.48,-3.15,-0.059333208,-0.004879346,-0.054453862,7/19/2016,104
10/20/2016,57.5,57.52,56.66,57.25,55.124832,49455600,-2.41,-3.740002,-3.075001,-0.053711808,-0.000378982,-0.053332825,10/20/2016,105
1/26/2017,64.120003,64.540001,63.549999,64.269997,62.302299,43554600,-1.510002,-0.380005,-0.9450035,-0.014703649,0.004243451,-0.0189471,1/26/2017,106
4/27/2017,68.150002,68.379997,67.580002,68.269997,66.581055,34971000,-0.190002,-1.030006,-0.610004,-0.00893517,0.000453115,-0.009388285,4/27/2017,107
7/20/2017,74.18,74.300003,73.279999,74.220001,72.798759,42361000,0.43,0.029999,0.2299995,0.003098888,-0.000568716,0.003667604,7/20/2017,108
10/26/2017,79.199997,79.419998,78.75,78.760002,77.663406,32120700,-5.049996,-4.419998,-4.734997,-0.06011931,-0.006974656,-0.053144654,10/26/2017,109
1/31/2018,93.75,95.400002,93.510002,95.010002,94.157661,48756300,0.75,7.010002,3.880001,0.040837816,0.031120716,0.009717101,1/31/2018,110
4/26/2018,93.550003,95.150002,93.099998,94.260002,93.85321,42529000,-1.559998,-0.739998,-1.149998,-0.012200276,0.001683916,-0.013884191,4/26/2018,111
7/19/2018,104.93,105.309998,103.889999,104.400002,104.400002,40171600,-1.869995,-3.260002,-2.5649985,-0.024568951,-0.002411636,-0.022157315,7/19/2018,112
